 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  1484. Tricholóma sciódes (Pers.) C. Martín (1919)                       pogubna kolobarnica                              S
  1485. Tricholóma sejúnctum (Sowerby) Quél. (1872)                       vretenasta kolobarnica                          PU
  1486. Tricholóma sejúnctum var. coniferárum Bon (1976)                  vretenasta kolobarnica, iglavčev različek PU, 2964
  1487. Tricholóma sejúnctum var. corypháeum (Fr.) A. Pearson & Dennis (1948) vretenasta kolobarnica,
                                                                                oranžnomekinasti različek            U, 2540
  1488. Tricholóma sejúnctum var. fagetórum Bon & Boutev. (1976)          vretenasta kolobarnica, bukov različek          PU
  1489. Tricholóma squarrulósum Bres. (1892)                              luskava kolobarnica                              U
  1490. Tricholóma stáns (Fr.) Sacc. (1887)                               luskobetna kolobarnica                           U
  1491. Tricholóma striátum (Schaeff.) Sacc. (1931)                       belorjava kolobarnica                            S
  1492. Tricholóma sulphuréscens Bres. (1905)                             lisasta kolobarnica                            NU
  1493. Tricholóma sulphúreum (Bull.) P. Kumm. (1871)                     žveplena kolobarnica                             S
  1494. Tricholóma sulphúreum var. coronaria (Pers.) Sacc. (1887)         žveplena kolobarnica, rjavogrbi različek         S
  1495. Tricholóma térreum (Schaeff.) P. Kumm. (1871)                     prstena kolobarnica                              U
  1496. Tricholóma tríste (Scop.) Quél. (1872)                            gorska kolobarnica                               U
  1497. Tricholóma umbonátum Clémençon & Bon (1975)                       grbasta kolobarnica                            NU
  1498. Tricholóma ustále (Fr.) P. Kumm. (1871)                           osmojena kolobarnica                           NU
  1499. Tricholóma ustaloídes Romagn. (1954)                              sluzasta kolobarnica                           NU
  1500. Tricholóma vaccínum (Schaeff.) P. Kumm. (1871)                    kocasta kolobarnica                             PU
  1501. Tricholóma virgátum (Fr.) P. Kumm. (1871)                         pekoča kolobarnica                             NU



Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                          42
  1502. Tricholóma víridifucátum Bon (1976)                              šarasta kolobarnica                   U
  1503. Tricholóma víridilutéscens M.M. Moser (1978)                     citronasta kolobarnica                U

269.   TRICHOLOMÉLLA                                                ČEDNOGLAVKE
  1504. Tricholomélla constrícta (Fr.) Zerova ex Kalamees (1992)         ovenčana čednoglavka             U, 259

270.   TRICHOLOMÓPSIS                                               TRHLENKE
  1505. Tricholomópsis decóra (Fr.) Singer (1939)                        lična trhlenka                       PU
  1506. Tricholomópsis ornáta (Fr.) Singer (1943)                        okrašena trhlenka                    PU
  1507. Tricholomópsis rútilans (Schaeff.) Singer (1939)                 rdečkasta trhlenka                   PU

271.   TÚBER                                                        GOMOLJIKE
  1508. Túber magnátum Picco (1788)                                      bela gomoljika                        U

272.   TYLOPÍLUS                                                    GRENIVCI
  1509. Tylopílus félleus (Bull.) P. Karst. (1881)                       žolčasti grenivec                    NU
  1510. Tylopílus porphyrósporus (Fr. & Hök) A.H. Sm. & Thiers (1971)    porfirasti grenivec       U, Z, RS, 2084

273.   TYRÓMYCES                                                    SIROVCI
  1511. Tyrómyces chióneus (Fr.) P. Karst. (1881)                        snežnobeli sirovec                   NU
  1512. Tyrómyces kmétii (Bres.) Bondartsev & Singer (1941)              oranžni sirovec                      NU

274.   VÉRPA                                                        SMRČKOVCI
  1513. Vérpa bohémica (Krombh.) J. Schröt. (1893)                       češki smrčkovec          PU, Z, RS, 2147
  1514. Vérpa cónica (O.F. Müll.) Sw. (1815)                             poveznjeni smrčkovec            U, Z, RS

275.   VOLVARIÉLLA                                                  NOžNIČARKE
  1515. Volvariélla bombýcina (Schaeff.) Singer (1951)                   svilasta nožničarka               U, RS
  1516. Volvariélla gloiocéphala (DC.) Wasser (1988)                     velika nožničarka                     U
  1517. Volvariélla murinélla (Quél.) M.M. Moser (1953)                  mišja nožničarka                     NU
  1518. Volvariélla pusílla (Pers.) Singer (1951)                        pritlikava nožničarka                NU
  1519. Volvariélla surrécta (Knapp) Singer (1951)                       parazitska nožničarka                NU

276.   VUILLEMÍNIA                                                  VILJEMINKE
  1520. Vuillemínia comédens (Nees) Maire (1902)                         uničujoča viljeminka                 NU

277.   XEROCOMÉLLUS                                                 POLSTENCI
